product_handle,status,content,rating,photo_url,name,country,email,created_at
chocolate-oversized-shirts-for-men-and-women,,Absolutely love the quality of these oversized t-shirts! Perfect for a casual day out.,5,,Sneha Patel,India,snehapatel*1234@gmail.com,2024-02-22
chocolate-oversized-shirts-for-men-and-women,,The oversized tees are so versatile and comfortable. Highly recommend!,4,,Aryan Singh,India,aryansingh*5678@gmail.com,2023-12-19
chocolate-oversized-shirts-for-men-and-women,,I bought the pink oversized t-shirt and it looks amazing on me. Great fit!,5,,Shreya Kapoor,India,shreyakapoor*910@gmail.com,2024-03-10
chocolate-oversized-shirts-for-men-and-women,,"Wearing the black oversized shirt, feels like a dream. So soft and trendy!",5,,Rahul Mehta,India,rahulmehta*234@gmail.com,2024-01-15
chocolate-oversized-shirts-for-men-and-women,,The breathable fabric of these oversized tees is perfect for hot summers.,4,,Kavita Sharma,India,kavitasharma*567@gmail.com,2024-02-08
chocolate-oversized-shirts-for-men-and-women,,Loving the oversized beach t-shirt! It's my go-to for relaxed weekends.,5,,Vivek Khanna,India,vivekkhanna*890@gmail.com,2023-12-28
chocolate-oversized-shirts-for-men-and-women,,Great collection of oversized t-shirts. Can't wait to get more colors!,4,,Pooja Reddy,India,poojareddy*456@gmail.com,2024-03-29
chocolate-oversized-shirts-for-men-and-women,,The oversized white t-shirt is a staple in my wardrobe now. So comfy!,5,,Arjun Bhatia,India,arjunbhatia*123@gmail.com,2024-02-17
chocolate-oversized-shirts-for-men-and-women,,Really impressed with the quality and fit of these oversized tees.,4,,Meera Verma,India,meeraverma*789@gmail.com,2023-12-24
chocolate-oversized-shirts-for-men-and-women,,Just received my blue oversized shirt and it's even better than expected!,5,,Amit Joshi,India,amitjoshi*234@gmail.com,2024-04-06
chocolate-oversized-shirts-for-men-and-women,,The pink oversized shirt is so cute and comfy. Perfect for lounging.,4,,Sapna Gupta,India,sapnagupta*567@gmail.com,2024-01-29
chocolate-oversized-shirts-for-men-and-women,,Absolutely in love with the korean oversized shirt. Great addition to my wardrobe.,5,,Rohit Malhotra,India,rohitmalhotra*890@gmail.com,2024-03-15
chocolate-oversized-shirts-for-men-and-women,,The grey oversized t-shirt is my new favorite. So easy to style!,5,,Deepika Chawla,India,deepikachawla*234@gmail.com,2023-12-10
chocolate-oversized-shirts-for-men-and-women,,Off white oversized shirt is super chic. Love the oversized look!,4,,Ravi Singhania,India,ravisinghania*567@gmail.com,2024-02-03
chocolate-oversized-shirts-for-men-and-women,,White women's oversized baggy t-shirt is so trendy. Great quality!,5,,Neha Suri,India,nehasuri*890@gmail.com,2024-01-05
chocolate-oversized-shirts-for-men-and-women,,Basics shirts in black and white are must-haves. Perfect for everyday wear.,4,,Rohan Kapoor,India,rohankapoor*123@gmail.com,2024-03-20
chocolate-oversized-shirts-for-men-and-women,,Cargo shirts for men are so stylish! Loving the oversized fit.,5,,Priya Sharma,India,priyasharma*456@gmail.com,2023-12-15
chocolate-oversized-shirts-for-men-and-women,,Summer shirts for men are a must-buy. These oversized ones are perfect!,4,,Sandeep Ahuja,India,sandeepahuja*789@gmail.com,2024-02-25
chocolate-oversized-shirts-for-men-and-women,,The white full sleeve t-shirt is so comfortable. Great for layering.,5,,Vidya Mehra,India,vidyamehra*234@gmail.com,2024-04-10
