productHandle,status,content,rating,photoUrl,name,country,email,created_at
gold-oversized-shirts-for-men-and-women,,Absolutely love these oversized t-shirts! The sand brown color is so unique and trendy. Perfect for both men and women.,5,,Aashi Singh,India,aashi_singh*123.com,2023-12-15
gold-oversized-shirts-for-men-and-women,,The quality of these t-shirts is amazing. They are so comfortable to wear all day long. Highly recommend!,5,,Dev Patel,India,dev_patel*456.com,2023-12-20
gold-oversized-shirts-for-men-and-women,,I bought the pink oversized t-shirt and I'm in love with it. The fit is perfect and the color is so vibrant.,5,,Shreya Kapoor,India,shreyakapoor*789.com,2024-01-05
gold-oversized-shirts-for-men-and-women,,These oversized t-shirts are a great addition to my wardrobe. Love the versatility and comfort they offer.,4,,Rahul Mehta,India,rahulmehta*abc.com,2024-01-10
gold-oversized-shirts-for-men-and-women,,The black oversized t-shirt is a staple piece. Can be dressed up or down effortlessly. Must-have!,5,,Neha Gupta,India,nehagupta*def.com,2024-01-15
gold-oversized-shirts-for-men-and-women,,"I wasn't sure about oversized t-shirts, but these changed my mind. So stylish and comfortable!",4,,Vivek Sharma,India,viveksharma*ghi.com,2024-01-20
gold-oversized-shirts-for-men-and-women,,The brown oversized t-shirt is a great casual piece. Love the color and fit. Will be buying more!,5,,Ayesha Khan,India,ayeshakhan*jkl.com,2024-02-03
gold-oversized-shirts-for-men-and-women,,I love the blue oversized t-shirt. It's so comfy and the color is perfect for summer days.,5,,Aarav Malhotra,India,aaravmalhotra*mno.com,2024-02-08
gold-oversized-shirts-for-men-and-women,,These oversized t-shirts are great quality. The off white one is my favorite. So easy to style!,4,,Pooja Joshi,India,poojajoshi*pqr.com,2024-02-15
gold-oversized-shirts-for-men-and-women,,The grey oversized t-shirt is a wardrobe essential. Goes well with everything. Love the look!,5,,Amit Chatterjee,India,amitchatterjee*stu.com,2024-02-20
gold-oversized-shirts-for-men-and-women,,I purchased the white oversized t-shirt and it's so soft. Great for lounging at home or a casual day out.,4,,Khushi Singh,India,khushisingh*tuv.com,2024-03-05
gold-oversized-shirts-for-men-and-women,,The pink oversized t-shirt is a fun addition to my wardrobe. The fit is perfect and the color is lovely.,5,,Rohan Mehra,India,rohanmehra*wxz.com,2024-03-10
gold-oversized-shirts-for-men-and-women,,I love how versatile these oversized t-shirts are. Perfect for a casual look or even a semi-formal outfit.,4,,Ananya Kapoor,India,ananyakapoor*ABCD.com,2024-03-15
gold-oversized-shirts-for-men-and-women,,The korean oversized t-shirt is so stylish. Great quality fabric and unique design. Love it!,5,,Rajesh Khanna,India,rajeshkhanna*EFG.com,2024-04-05
gold-oversized-shirts-for-men-and-women,,The yellow oversized t-shirt is a bright and cheerful piece. Perfect for adding a pop of color to any outfit.,5,,Aditi Sharma,India,aditisharma*HIJ.com,2024-04-10
gold-oversized-shirts-for-men-and-women,,I adore the cream color oversized t-shirt. It's so elegant and can be dressed up or down easily.,5,,Virat Kapoor,India,viratkapoor*KLM.com,2024-04-15
gold-oversized-shirts-for-men-and-women,,The drop shoulder oversized t-shirt is so on-trend. Love the relaxed fit and cool vibe it gives.,4,,Meera Verma,India,meeraverma*NOP.com,2024-04-17
